STIGID,VID,CheckType,CheckName,Expected,Expected2,Severity
ESXI-70-000041,V-256405,AdvancedSetting,UserVars.ESXiShellInteractiveTimeOut,120,,medium
ESXI-70-000042,V-256406,AdvancedSetting,UserVars.ESXiShellTimeOut,600,,medium
ESXI-70-000043,V-256407,AdvancedSetting,UserVars.DcuiTimeOut,120,,medium
ESXI-70-000045,V-256408,AdvancedSetting,Syslog.global.logDir,/vmfs/volumes/datastore1/logs,,medium
ESXI-70-000046,V-256409,Service,NTP Daemon,Running,On,medium
ESXI-70-000036,V-256401,Service,ESXi Shell,Stopped,Off,medium
ESXI-70-000035,V-256400,Service,SSH,Stopped,Off,medium
ESXI-70-000097,V-256448,Service,CIM Server,Stopped,off,medium
ESXI-70-000083,V-256435,Service,slpd,stopped,off,medium
ESXI-70-000047,V-256410,AdvancedSetting,SoftwareAcceptanceLevel,PartnerSupported,,high
ESXI-70-000095,V-256447,SecureBoot,SecureBoot,True,,medium
ESXI-70-000001,V-256375,LockdownMode,LockdownMode,Enabled,,medium
ESXI-70-000091,V-256443,AdvancedSetting,Security.PasswordMaxDays,90,,medium
ESXI-70-000089,V-256441,AdvancedSetting,UserVars.HostClientSessionTimeout,600,,medium
ESXI-70-000088,V-256440,AdvancedSetting,Config.HostAgent.vmacore.soap.sessionTimeout,30,,medium
ESXI-70-000087,V-256439,AdvancedSetting,Mem.MemEagerZero,1,,medium
ESXI-70-000086,V-256438,AdvancedSetting,Syslog.global.logCheckSSLCerts,true,,medium
ESXI-70-000081,V-256433,AdvancedSetting,UserVars.SuppressHyperthreadWarning,0,,medium
ESXI-70-000079,V-256432,AdvancedSetting,UserVars.SuppressShellWarning,0,,medium
ESXI-70-000074,V-256429,AdvancedSetting,UserVars.ESXiVPsDisabledProtocols,"tlsv1,tlsv1.1,sslv3",,high
ESXI-70-000062,V-256423,AdvancedSetting,"Net.DVFilterBindIpAddress | Select-Object -property Value",,,medium
ESXI-70-000058,V-256419,AdvancedSetting,Net.BlockGuestBPDU,1,,medium
ESXI-70-000055,V-256416,AdvancedSetting,Mem.ShareForceSalting,2,,Low 
ESXI-70-000039,V-256404,AdvancedSetting,Config.HostAgent.plugins.hostsvc.esxAdminsGroup,ESX Admins,,medium
ESXI-70-000034,V-256399,AdvancedSetting,Config.HostAgent.plugins.solo.enableMob,false,,medium
ESXI-70-000032,V-256398,AdvancedSetting,Security.PasswordHistory,5,,medium
ESXI-70-000031,V-256397,AdvancedSetting,Security.PasswordQualityControl,"similar=deny retry=3 min=disabled,disabled,disabled,disabled,15",,medium
ESXI-70-000030,V-256396,AdvancedSetting,Config.HostAgent.log.level,info,,medium
ESXI-70-000008,V-256382,AdvancedSetting,Config.Etc.issue,"You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only. By using this IS (which includes any device attached to this IS), you consent to the following conditions: -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations. -At any time, the USG may inspect and seize data stored on this IS. -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose. -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy. -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.",,medium
